Titolo;Categoria;Durata;Finale;Complessita;Realismo;Contenuti;Tono;
John Wick;Azione;101;Teso;Lineare;Stilizzato;Esplicito;Dark;
Schindler's List;Drammatico;195;Triste;Lineare;Realistico;Esplicito;Serio;
Una Notte da Leoni;Commedia;100;Lieto;Lineare;Realistico;Moderato;Comico;
Avengers: Endgame;Azione;181;Lieto;Intricato;Fantasy;Moderato;Bilanciato;
Parasite;Thriller;132;Teso;Intricato;Realistico;Esplicito;Serio;
Inside Out;Animazione;95;Lieto;Intricato;Surreale;PerTutti;Bilanciato;
Shining;Horror;146;Triste;Cerebrale;Surreale;Esplicito;Inquietante;
Il Padrino;Drammatico;175;Malinconico;Intricato;Realistico;Esplicito;Serio;
"Corto Pixar ""Bao""";Animazione;8;Triste;Semplice;Surreale;PerTutti;Bilanciato;
Interstellar;Scifi;169;Lieto;Cerebrale;Realistico;PerTutti;Serio;
Titanic;Romance;194;Triste;Lineare;Realistico;Moderato;Leggero;
La La Land;Romance;128;Malinconico;Lineare;Stilizzato;PerTutti;Leggero;
Notting Hill;Romance;124;Lieto;Semplice;Realistico;Moderato;Leggero;
Il Signore degli Anelli - Il Ritorno del Re;Fantasy;201;Lieto;Intricato;Fantasy;Moderato;Bilanciato;
Harry Potter e la Pietra Filosofale;Fantasy;152;Lieto;Lineare;Fantasy;PerTutti;Bilanciato;
Il Labirinto del Fauno;Fantasy;118;Triste;Intricato;Fantasy;Esplicito;Dark;
Into the Wild;Avventura;148;Triste;Lineare;Realistico;Moderato;Serio;
I Predatori dell'Arca Perduta;Avventura;115;Lieto;Lineare;Stilizzato;Moderato;Bilanciato;
Revenant - Redivivo;Avventura;156;Teso;Lineare;Realistico;Esplicito;Dark;
Blade Runner 2049;Scifi;164;Malinconico;Cerebrale;Stilizzato;Esplicito;Dark;
Matrix;Scifi;136;Lieto;Cerebrale;Stilizzato;Moderato;Serio;
Seven;Thriller;127;Triste;Intricato;Realistico;Esplicito;Dark;
Joker;Thriller;122;Teso;Lineare;Realistico;Esplicito;Inquietante;
Scappa - Get Out;Horror;104;Teso;Cerebrale;Surreale;Esplicito;Inquietante;
L'Esorcista;Horror;122;Malinconico;Lineare;Surreale;Esplicito;Inquietante;
Una Tomba per le Lucciole;Animazione;89;Triste;Lineare;Realistico;Esplicito;Serio;
Shrek;Animazione;90;Lieto;Semplice;Fantasy;PerTutti;Comico;
Piper;Animazione;6;Lieto;Semplice;Realistico;PerTutti;Leggero;
Fight Club;Drammatico;139;Teso;Cerebrale;Stilizzato;Esplicito;Bilanciato;
Forrest Gump;Drammatico;142;Lieto;Intricato;Stilizzato;Moderato;Leggero;
The Truman Show;Commedia;103;Lieto;Cerebrale;Surreale;PerTutti;Bilanciato;
Grand Budapest Hotel;Commedia;99;Malinconico;Intricato;Stilizzato;Moderato;Bilanciato;
